X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
STRIKES,PITCHES,0.99999,0.014602423,0.030340016,0.99405,5.0,0.9926669
D_RPMLVr,D_PMLVr,0.99999,0.011784971,0.03955996,0.99405,5.0,0.994085
D_VORP,D_RPMLV,0.99999,0.010015488,0.030359983,0.99999,4.807355,0.9949746
D_NETDP,DP%,0.99999,0.25002617,0.047360003,0.99999,3.0,0.8660045
D_OUTS_EQ,OUT,0.99996,8.866191E-4,0.018049955,0.994,3.169925,0.9995366
PA%,PA,0.99987,0.001245439,0.04084003,0.99984,4.169925,0.99931204
G_PH,PA_PH,0.99948,-4.67062E-4,9.3996525E-4,0.99948,2.0,0.99997354
G_DH,PA_DH,0.9977,0.003934264,0.02599001,0.9977,2.0,0.99687797
SHR,SH,0.9977,0.33958167,0.03206998,0.9977,2.0,0.8112449
D_PMLV,D_PMLVr,0.9977,0.26642817,0.023819983,0.9977,4.9068904,0.8551443
D_MLV,D_MLVr,0.99719,0.24805272,0.041079998,0.99719,4.9068904,0.86552715
PITCHES,PA,0.99405,0.019957066,0.03425002,0.98842,5.0,0.9869615
ROB,PA_ROB,0.99405,0.0023716688,0.016950011,0.99405,3.5849626,0.9958305
PA%,AB,0.9939,0.0021341443,0.06220001,0.9939,3.807355,0.9958744
PA%,PITCHES,0.9939,0.021952093,0.09900999,0.98826,5.0,0.9858742
D_VORPr,D_RPMLVr,0.98928,-0.0013403296,0.046959996,0.98364,5.0,0.9952991
AB,PA,0.98812,-0.003718257,0.020139992,0.98812,4.70044,0.99591076
STRIKES,PA,0.98588,8.8351965E-4,0.038780034,0.98218,5.0,0.9924699
D_OUTS_EQ,PA%,0.98573,5.0252676E-4,0.06165999,0.98573,4.4594316,0.99258626
OUT,AB,0.97994,-0.011442304,0.02580005,0.97994,4.4594316,0.9956818
D_OUTS_EQ,AB,0.97989,-0.012097955,0.040090024,0.97989,4.807355,0.9959859
Batted Balls,AB,0.97965,0.010737658,0.029899955,0.97256,5.0,0.98433346
D_OUTS_EQ,PA,0.9796,-0.004576683,0.028510034,0.97736,5.0,0.9920568
PA%,STRIKES,0.9795,-0.0044795275,0.06536001,0.9761,5.0,0.9919574
OUT,PA,0.97401,-0.010710537,0.013750017,0.97371,5.0,0.99233085
BALLS,PITCHES,0.97256,0.0044418573,0.035070002,0.9677,5.0,0.98392993
PA%,OUT,0.97162,-0.014081061,0.04199004,0.97162,4.9068904,0.9928248
ROB,R2,0.96438,-0.0065762997,0.042250037,0.96095,5.0,0.9853712
STRIKES,OUT,0.963,-0.012953997,0.025929987,0.95937,5.0,0.98790383
TOB,H,0.96154,0.0224545,0.055350006,0.95695,5.0,0.96906424
D_RPMLVr,D_MLVr,0.9559,-0.017813802,0.036520004,0.95094,5.0,0.9867694
ROB,R1,0.95542,-0.027151883,0.078749955,0.95542,4.9068904,0.99124765
TOB,PA,0.95359,-0.004140377,0.019200027,0.95143,5.0,0.978637
D_EqR,TOB,0.9533,-0.0011892915,0.03046,0.94783,5.0,0.9769797
PA_ROB,PA,0.95317,0.02428323,0.05084002,0.94869,5.0,0.96378773
D_EqR,TB,0.95312,-0.0053194165,0.028999984,0.94773,5.0,0.9789992
D_RARP,D_VORP,0.95282,-0.017811596,0.032160044,0.94661,5.0,0.98520637
R1,PA_ROB,0.95202,-0.025208771,0.04535997,0.95173,5.0,0.9885488
D_OUTS_EQ,STRIKES,0.94875,-0.026489854,0.037420034,0.94482,5.0,0.98754233
STRIKES,AB,0.94789,-0.0278458,0.04729998,0.94187,5.0,0.9877934
ROB,PA,0.94779,0.03309959,0.043439984,0.9431,5.0,0.9563945
OUTR,OBP,0.94724,-0.026386619,0.06586999,0.94118,5.0,-0.9867252
H,PA,0.94653,-0.004586637,0.06356001,0.94375,5.0,0.9752521
Batted Balls,H,0.94624,-0.012910783,0.028180003,0.9405,5.0,0.9793624
D_MLV,D_RPMLVr,0.94584,0.23859668,0.061160028,0.93799,5.0,0.8409776
PA%,TOB,0.94281,-0.009798944,0.0485,0.94261,5.0,0.9760169
TBP,SLG,0.94269,-0.019699156,0.10741001,0.93777,5.0,0.9810144
UBB,BB,0.94232,-0.035127997,0.019850016,0.94232,4.70044,0.9886597
STRIKES,TOB,0.94178,0.007276237,0.018079996,0.93766,5.0,0.96669734
ROB,AB,0.94151,0.03945142,0.054940045,0.93556,5.0,0.94976765
PA_ROB,AB,0.94136,0.026335597,0.043680012,0.93556,5.0,0.9565691
H,AB,0.94029,-0.019855976,0.05662,0.93552,5.0,0.9798704
PITCHES,TOB,0.94022,-0.016435504,0.05426997,0.93408,5.0,0.97808766
PA_ROB,PA%,0.9397,0.015529513,0.04016,0.93921,5.0,0.96133786
D_RAP,D_VORPr,0.93917,0.2256878,0.062050045,0.9359,5.0,0.84467876
Batted Balls,OUT,0.93849,-0.010510325,0.03710997,0.93367,5.0,0.97416645
PITCHES,OUT,0.93779,-0.008805513,0.024500012,0.93232,5.0,0.9729314
ROB,PA%,0.93753,0.028731108,0.044889987,0.93227,5.0,0.9533094
R2,PA_ROB,0.93695,-0.026539564,0.02226001,0.93441,5.0,0.9815751
R1,SIT_DP,0.93652,-0.02678138,0.02165997,0.93325,5.0,0.98147917
D_EqA,D_MLVr,0.93642,0.045449436,0.05264002,0.93279,5.0,0.9439124
PA_ROB,D_OUTS_EQ,0.93551,0.03476143,0.03669995,0.93079,5.0,0.9490777
Batted Balls,PA,0.93493,-0.01315999,0.028209984,0.93069,5.0,0.97369915
D_EqA,D_MLV,0.9334,0.37730986,0.049239993,0.93074,5.0,0.7457145
TOB,TB,0.93096,-0.0056802034,0.056789994,0.92611,5.0,0.96780175
TOB,AB,0.93094,0.0060652494,0.019060016,0.92755,5.0,0.9617041
D_PMLV,D_RPMLVr,0.93072,0.21573299,0.044619977,0.92855,5.0,0.845569
D_OUTS_EQ,Batted Balls,0.92998,-0.022051752,0.04444003,0.92626,5.0,0.9757211
PA_ROB,OUT,0.92963,0.02327782,0.036190033,0.92636,5.0,0.9520253
D_RARP,D_RPMLV,0.92815,-0.03484541,0.055400014,0.9229,5.0,0.9813233
TB,PA,0.92769,8.6152554E-4,0.038259983,0.92503,5.0,0.9627193
D_RAP,D_PMLVr,0.92731,0.21830028,0.05163002,0.92095,5.0,0.8420271
ROB,SIT_DP,0.92631,-0.016347706,0.04863,0.9216,5.0,0.9709056
D_OUTS_EQ,H,0.92394,0.0036911964,0.08428997,0.91771,5.0,0.959296
